"Index","Model","Delta_g"
110,"Fredithefish/Guanaco-3B-Uncensored-v2",0.000410000000000021
111,"dball/zephyr-tiny-sft-qlora-quantized-2",0.000280000000000002
112,"kimwooglae/AISquare-Instruct-SOLAR-10.7b-v0.5.31",-7.00000000000145e-05
113,"Mikivis/gpt2-large-lora-sft1",-0.000379999999999991
114,"tyson0420/stack_codellama-7b-inst",0.000439999999999996
115,"abhinand/TinyLlama-1.1B-OpenHermes-2.5-Chat-v0.1-sft",0.000300000000000022
116,"abhinand/telugu-llama-7b-instruct-v0.1",0.000589999999999979
117,"abhinand/gemma-2b-it-tamil-v0.1-alpha",0.000390000000000001
118,"abhinand/tamil-llama-13b-instruct-v0.1",0.000159999999999993
119,"kevin009/flyingllama",-0.000689999999999968
120,"beomi/KoAlpaca-Polyglot-5.8B",-0.000429999999999986
121,"beomi/KoAlpaca-KoRWKV-6B",-0.000659999999999994
122,"beomi/Yi-Ko-6B",0.000259999999999982
123,"beomi/llama-2-ko-7b",0.000280000000000002
124,"amazingvince/where-llambo-7b",-6.00000000000045e-05
125,"jsfs11/SnorkelWestBeagle-DARETIES-7B",-0.000130000000000019
126,"dddsaty/SOLAR_Merge_Adapter_DPO_Orca",-7.00000000000145e-05
127,"TheBloke/Llama-2-7B-GPTQ",0.000180000000000013
128,"TheBloke/Airoboros-L2-13B-2.1-GPTQ",6.00000000000045e-05
129,"TheBloke/Wizard-Vicuna-7B-Uncensored-HF",0.000219999999999998
130,"TheBloke/VicUnlocked-alpaca-65B-QLoRA-fp16",-7.9999999999969e-05
131,"TheBloke/Wizard-Vicuna-30B-Uncensored-fp16",2.000000000002e-05
132,"TheBloke/WizardLM-13B-V1-1-SuperHOT-8K-GPTQ",0.000209999999999988
133,"TheBloke/gpt4-alpaca-lora_mlp-65B-HF",-7.9999999999969e-05
134,"TheBloke/Guanaco-3B-Uncensored-v2-GPTQ",0.000410000000000021
135,"TheBloke/Llama-2-7b-Chat-AWQ",-0.000209999999999988
136,"TheBloke/Orca-2-13B-GPTQ",0.000230000000000008
137,"TheBloke/Poro-34B-GPTQ",0.000310000000000032
138,"TheBloke/Project-Baize-v2-7B-GPTQ",0.000360000000000027
139,"TheBloke/neural-chat-7B-v3-2-GPTQ",-4.99999999999945e-05
140,"TheBloke/fiction.live-Kimiko-V2-70B-fp16",-0.000120000000000009
141,"TheBloke/WizardLM-13B-V1-1-SuperHOT-8K-fp16",0.000170000000000003
142,"TheBloke/Mixtral-8x7B-v0.1-GPTQ",-7.9999999999969e-05
143,"TheBloke/OpenAssistant-SFT-7-Llama-30B-HF",2.000000000002e-05
144,"Salesforce/codegen-16B-nl",0.000340000000000007
145,"shibing624/chinese-alpaca-plus-7b-hf",0.000439999999999996
146,"AIGym/deepseek-coder-1.3b-chat-and-function-calling",-0.000560000000000005
147,"AIGym/deepseek-coder-6.7b-chat-and-function-calling",0.000259999999999982
148,"AIGym/deepseek-coder-1.3b-chat",-0.000539999999999985
149,"Sharathhebbar24/ssh_1.8B",0.000539999999999985
150,"OpenBuddy/openbuddy-mixtral-8x7b-v16.2-32k",0.000170000000000003
151,"OpenBuddy/openbuddy-deepseek-67b-v15.2",-0.000130000000000019
152,"OpenBuddy/openbuddy-atom-13b-v9-bf16",0.000269999999999992
153,"OpenBuddy/openbuddy-deepseek-10b-v17.1-4k",0.000219999999999998
154,"OpenBuddy/openbuddy-deepseekcoder-33b-v16.1-32k",0.000549999999999995
155,"OpenBuddy/openbuddy-falcon-40b-v16.1-4k",-2.99999999999745e-05
156,"OpenBuddy/openbuddy-falcon-180b-v13-preview0",-6.00000000000045e-05
157,"OpenBuddy/openbuddy-mistral-7b-v17.1-32k",0.000159999999999993
158,"kodonho/Solar-M-SakuraSolar-Mixed",0.000709999999999988
159,"gmonsoon/MaxiCPM-3x3B-Test",0.000420000000000031
160,"gmonsoon/TinyUltra-4x1.1B-Base-Alpha",0.000350000000000017
161,"Inv/MoECPM-Untrained-4x2b",0.000390000000000001
162,"robinsmits/Mistral-Instruct-7B-v0.2-ChatAlpacaV2-4bit",-6.00000000000045e-05
163,"beberik/TinyExperts-v0-4x1B",0.000140000000000029
164,"NovoCode/Tiger-7B-v0.1-LaserRMT-Math-5-10-15-Neural-DPO",-1.000000000001e-05
165,"NickyNicky/Mistral-7B-OpenOrca-oasst_top1_2023-08-25-v3",-3.99999999999845e-05
166,"migtissera/Tess-10.7B-v1.5",-8.9999999999979e-05
167,"abhiramtirumala/DialoGPT-sarcastic-medium",-0.000549999999999995
168,"DanielSc4/RedPajama-INCITE-Chat-3B-v1-RL-LoRA-8bit-test1",0.000400000000000011
169,"abacusai/Fewshot-Metamath-OrcaVicuna-Mistral-10B",0.000149999999999983
170,"abacusai/MM-Orc-Vic-bagel-34b-c1000",-7.00000000000145e-05
171,"abacusai/Fewshot-Metamath-OrcaVicuna-Mistral",-2.000000000002e-05
172,"Undi95/MLewd-ReMM-L2-Chat-20B-Inverted",4.99999999999945e-05
173,"Undi95/Mixtral-8x7B-MoE-RP-Story",0.000470000000000026
174,"Undi95/Llama2-13B-no_robots-alpaca-lora",8.9999999999979e-05
175,"Tincando/fiction_story_generator",-0.001
176,"wahaha1987/llama_13b_sharegpt94k_fastchat",0.000180000000000013
177,"PY007/TinyLlama-1.1B-intermediate-step-480k-1T",8.00000000000245e-05
178,"tokyotech-llm/Swallow-70b-instruct-hf",-7.9999999999969e-05
179,"HIT-SCIR/Chinese-Mixtral-8x7B",-0.000109999999999999
180,"dhmeltzer/Llama-2-7b-hf-eli5-cleaned-1024_qlora_merged",0.000149999999999983
181,"dhmeltzer/llama-7b-SFT-qlora-eli5-wiki_DPO_ds_RM_top_2_1024_r_64_alpha_16",0.000140000000000029
182,"dhmeltzer/Llama-2-13b-hf-ds_wiki_1024_full_r_64_alpha_16",0
183,"dhmeltzer/llama-7b-SFT_ds_eli5_1024_r_64_alpha_16_merged",0.000180000000000013
184,"dhmeltzer/Llama-2-13b-hf-ds_eli5_1024_r_64_alpha_16",-1.000000000001e-05
185,"PulsarAI/MetaMath-Chupacabra-7B-v2.01-Slerp",-0.000170000000000003
186,"PulsarAI/MetaMath-OpenHermes-2.5-neural-chat-v3-3-Slerp",-0.000149999999999983
187,"PulsarAI/2x-LoRA-Assemble-Platypus2-13B",0.000109999999999999
188,"kaitchup/Maixtchup-4x7b-QLoRA-SFT-UltraChat",-6.00000000000045e-05
189,"davzoku/frankencria-llama2-11b-v1.3-m.1",0.000259999999999982
190,"davzoku/frankencria-llama2-12.5b-v1.3-m.2",0.000319999999999987
191,"Rallio67/3B-redpajama-conditional-alpha",0.000360000000000027
192,"Rallio67/7B-redpajama-conditional-alpha",0.000400000000000011
193,"liminerity/phigment6-slerp",0.000259999999999982
194,"liuda1/dm7b_sft_gpt88w_merge",-6.00000000000045e-05
195,"hfl/chinese-mixtral-instruct",-9.9999999999989e-05
196,"concedo/Pythia-70M-ChatSalad",-0.000900000000000012
197,"OpenBuddyEA/openbuddy-llama-30b-v7.1-bf16",3.000000000003e-05
198,"csujeong/Gemma-7B-Finetuning-JCS-Ko-Ins",-3.99999999999845e-05
199,"gardner/TinyLlama-1.1B-SlimOrca-Function-Calling-3T",0.000340000000000007
200,"pe-nlp/llama-2-13b-platypus-vicuna-wizard",3.99999999999845e-05
201,"Radiantloom/radiantloom-mixtral-8x7b-fusion-dpo",1.000000000001e-05
202,"BreadAi/PM_modelV2",-0.000719999999999998
203,"BreadAi/gpt-YA-1-1_160M",-0.000639999999999974
204,"BreadAi/gpt-YA-1-1_70M",-0.000740000000000018
205,"BreadAi/gpt-Youtube",-0.000670000000000004
206,"CorticalStack/mistral-7b-openhermes-sft",-2.99999999999745e-05
207,"Gille/StrangeMerges_13-7B-slerp",-0.000170000000000003
208,"andreaskoepf/llama2-13b-megacode2_min100",3.000000000003e-05
209,"dvruette/oasst-gpt-neox-20b-3000-steps",0.000379999999999991
210,"dvruette/oasst-pythia-12b-pretrained-sft",0.000410000000000021
211,"dvruette/oasst-pythia-6.9b-4000-steps",0.000439999999999996
212,"M4-ai/TinyMistral-6x248M-Instruct",-0.001
213,"M4-ai/NeuralReyna-Mini-1.8B-v0.2",0.000460000000000016
214,"indischepartij/MiniCPM-3B-Bacchus",0.000450000000000006
215,"indischepartij/OpenMia-Indo-Mistral-7b-v2",-7.9999999999969e-05
216,"Phind/Phind-CodeLlama-34B-Python-v1",-0.000170000000000003
217,"abhishek/llama2guanacotest",0.000190000000000023
218,"elinas/chronos-33b",1.000000000001e-05
219,"elinas/chronos-70b-v2",-7.9999999999969e-05
220,"Aryanne/sheared-plus-westlake-normal",0.000429999999999986
221,"Aryanne/ereb-test",0.000420000000000031
222,"FelixChao/NarutoDolphin-7B",-3.99999999999845e-05
223,"karakuri-ai/karakuri-lm-70b-chat-v0.1",3.99999999999845e-05
224,"ogimgio/gpt-neo-125m-neurallinguisticpioneers",-0.00108999999999998
225,"vicgalle/solarized-18B-dpo",-2.000000000002e-05
226,"vicgalle/OpenHermes-Qwen1.5-1.8B",0.000460000000000016
227,"vicgalle/solarized-13B-dpo",0.000149999999999983
228,"vicgalle/SOLAR-13B-Instruct-v1.0",0.000290000000000012
229,"ignos/LeoScorpius-GreenNode-Platypus-7B-v1",-0.000170000000000003
230,"acrastt/Puma-3B",0.000369999999999981
