b,cor_ability_delta,cor_ability_r2,cor_delta_r2,linear_r2,quad_r2,full_r2,turning_point,peak_delta
3891,0.5417654671671128,-0.3410430863356571,-0.9239939214913383,0.29350982141480053,0.9127217268295773,0.9195963238607504,97.66778848206442,4.244645249501938e-4
3892,0.49311032051612363,-0.28916489547157354,-0.9169830077561691,0.2431577881995153,0.9151739112798413,0.922710474739956,97.441145787037,4.291514112526561e-4
3893,0.48776483959148725,-0.2711013834425377,-0.9199008055855761,0.23791453874170873,0.9411835048928765,0.9451421660368439,97.80170862974944,4.2432224380602873e-4
3894,0.5283071915061757,-0.3000209109551073,-0.9203355036450629,0.2791084885971424,0.9320256536685783,0.9358715209193379,97.68283665966158,4.28272390254409e-4
3895,0.582347355538787,-0.36839581194774107,-0.9242134899650527,0.3391284425030187,0.9350970668790364,0.9410639877178998,97.60138857438778,4.147511749343323e-4
3896,0.581955368440602,-0.38441371158697923,-0.9268975712621017,0.33867205085683666,0.9333333609217939,0.9382046373195417,97.73572717007106,4.2021678870874865e-4
3897,0.5474380650021355,-0.3485146999042234,-0.9269386124635199,0.29968843501328274,0.9288309840039278,0.9313276718526106,97.63235849487842,4.292266632542306e-4
3898,0.5700376847878726,-0.3781786217619213,-0.9274712225008273,0.32494296207831813,0.934865640115692,0.940035109494683,97.69896044613355,4.2727403808443323e-4
3899,0.5763005781289874,-0.3684986560926463,-0.9237110691133884,0.33212235635180404,0.9165744637912752,0.9217045318058728,97.65188470810814,4.153892906643801e-4
3900,0.5311048367835074,-0.33321401940639306,-0.9233551920077248,0.28207234765483585,0.9243440520532035,0.9291302021735699,97.6848767536262,4.195193266459153e-4
3901,0.5235964640491185,-0.32047625909297117,-0.9231059857324786,0.2741532571647393,0.9369771611067955,0.9415403638520424,97.68179551822936,4.281435845347667e-4
3902,0.5482368831389006,-0.32894420129750696,-0.9184421687741234,0.30056368003385686,0.9345631858476332,0.938255616750466,97.63235010316451,4.217669320733461e-4
3903,0.5291578066299311,-0.31477835341038995,-0.9227307951788278,0.2800079843173986,0.9336360046587334,0.9374161903733255,97.69679518462465,4.2803063194471816e-4
3904,0.5890559457556539,-0.37025618801809407,-0.9209811141384109,0.346986907230088,0.9395539400499534,0.9476951292842531,97.76730764547227,4.217341748047887e-4
3905,0.5699342807634445,-0.3698076468745159,-0.9253925368016478,0.3248250843893448,0.9275745125763772,0.9279520143842425,97.6078311323738,4.3216467955228127e-4
3906,0.5770757209147989,-0.38768417796732557,-0.9243775306208902,0.333016387669334,0.925951538179746,0.9355879116352025,97.70000759495741,4.194553001805462e-4
3907,0.48755257077441444,-0.2723116198399836,-0.9229986186992162,0.23770750926874076,0.923772261094531,0.9271754431032375,97.55472299508259,4.2725209051177465e-4
3908,0.5525357091685096,-0.35108710202398363,-0.9190507718820643,0.30529570990634747,0.9243878810490966,0.932066244110828,97.61866634556957,4.1485236055333746e-4
3909,0.5052934763322986,-0.2926585301510699,-0.9186992917500405,0.255321497223979,0.9178302503428436,0.9237963218374866,97.53301120914219,4.1797925995703394e-4
3910,0.5490244877269893,-0.3351545982916381,-0.9208633980302215,0.3014278881238832,0.9264860947750913,0.9318351037533283,97.69837976827023,4.2185521095125175e-4
3911,0.5859273418152291,-0.4025852959811953,-0.9236395378105011,0.34331084988666005,0.9198025606027533,0.9273680284757921,97.53539868687675,4.284911278010575e-4
3912,0.5029075097150516,-0.27673454919934165,-0.914304050621458,0.2529159633277945,0.9184297239054462,0.9207701084363501,97.7658593283843,4.0656970082952534e-4
3913,0.5193071863371626,-0.3038764305265964,-0.9235429228931532,0.26967995378142073,0.9289630957028491,0.93049435156442994,97.72070404675468,4.233419924424067e-4
3914,0.5312379687984496,-0.30182172189778306,-0.9205197773296352,0.2822137794931036,0.9352923205931988,0.9417912599293923,97.58847312431969,4.26615775164476e-4
3915,0.4559321175201575,-0.23837849591577032,-0.9178361301401333,0.20787409578641486,0.9214084589251105,0.9260204168077043,97.74853735734744,4.2365669298420616e-4
3916,0.5385080230151876,-0.3478338096702927,-0.9268286828950598,0.28999089085172536,0.9273658629350269,0.9341026128586487,97.78387910606698,4.2187539251994227e-4
3917,0.5629976318175458,-0.35449908957830967,-0.9257054072489295,0.3169663334321649,0.9401068885516477,0.9446233749655158,97.73655713940798,4.1995066924201477e-4
3918,0.5900312577387721,-0.39451023951423686,-0.9295505572367251,0.34813688510879653,0.9384192896094713,0.9461852227650493,97.76942031167894,4.2338858460999954e-4
3919,0.5555754512504185,-0.34324770438011437,-0.9247982646330004,0.3086640820321076,0.9394841944089211,0.9441836562655594,97.70253517925319,4.2149988636623614e-4
3920,0.47636852653032674,-0.23434166009614163,-0.9182879981758053,0.22692697306867388,0.9344027573525511,0.9387616902676301,97.736965976864,4.0707233349213806e-4
3921,0.528087289405594,-0.31837503999300376,-0.9178277579972104,0.27887618523174873,0.9359601271657254,0.937589039854223,97.67240515239942,4.2453389851284176e-4
3922,0.5410052731126405,-0.33147331133767677,-0.9226941818072792,0.2926867055356826,0.9216151836694217,0.9282782894793894,97.71490169863668,4.1594656745543024e-4
3923,0.5705756651758543,-0.3710063430056105,-0.9235524587291448,0.3255565896908688,0.9196117658545118,0.9290277800995399,97.54565497749812,4.3430669575725625e-4
3924,0.5364473090419422,-0.33428987805548577,-0.921789267294726,0.287775715378341,0.9289279680213995,0.9329412560733613,97.75375465985294,4.2336596827343906e-4
3925,0.551368070085183,-0.3475658013690222,-0.9240249538532966,0.304006748709459,0.9279184903522839,0.9339502961894719,97.58417942103347,4.2822631671655606e-4
3926,0.5943128807447946,-0.4033648992369863,-0.9273041803382887,0.3532078002191772,0.9382601789854327,0.9440893251754694,97.73744463594353,4.193329202233538e-4
3927,0.5335788226127973,-0.33948965298521894,-0.9262140009563399,0.2847063599408586,0.93131920431613,0.9382138112624142,97.67080475620153,4.21577624798386e-4
3928,0.5579181056842041,-0.3444054849197113,-0.9231206457685932,0.31127261265025236,0.9152513467415884,0.9245771884433022,97.67766199319429,4.141041269310232e-4
3929,0.5531019750244298,-0.34473117285404925,-0.9219821260690664,0.3059217947759252,0.9171451934182016,0.9277378234443866,97.50306772227927,4.2557296653092727e-4
3930,0.5187941688985703,-0.29864193873984807,-0.9210615897400316,0.26914738968315927,0.9270772131453222,0.9347840075211503,97.63458871053942,4.2878548779540573e-4
3931,0.5949986813213243,-0.3966875962527383,-0.9261534708597762,0.35402343077411436,0.9301209881655291,0.9354858061544301,97.67259161380545,4.2473693039220967e-4
3932,0.5277629667182829,-0.3272161121433229,-0.9201571885850723,0.2785337490392832,0.9180716215814637,0.9285128490321666,97.71484590233786,4.1068575625594766e-4
3933,0.5541321917416353,-0.3625511181920569,-0.9205110684186552,0.30706248592438895,0.9228820701903766,0.930622339360345,97.65197600555977,4.2636954055880194e-4
3934,0.5663518094615807,-0.34947400472348533,-0.9222442491982465,0.32075437208040697,0.9418476428508449,0.944303488306238,97.68530265220753,4.255357704528416e-4
3935,0.5592107060104244,-0.36190358358475705,-0.9270503858326316,0.3127166137166775,0.9140282922720029,0.9224220592288206,97.49376310602251,4.312650734455692e-4
3936,0.44721984204489024,-0.2217563244854957,-0.9161914555562721,0.20000558711865754,0.9187678663923657,0.9262399262626377,97.65919067937895,4.1878862085042295e-4
3937,0.5403414938404683,-0.31983452541567264,-0.9224726124803165,0.29196892996574975,0.9308778218431379,0.9342266456845962,97.70341829744827,4.1989779170869754e-4
3938,0.5419261285345582,-0.3532409910573744,-0.9267111717423954,0.2936839287884557,0.9144216575207188,0.920653125589546,97.59210889446457,4.2706484493220537e-4
3939,0.5482729792587372,-0.3231957563515469,-0.9230943036231015,0.3006032597852512,0.9376806108566358,0.941164963264074,97.70168185519897,4.2317604147933813e-4
3940,0.5023194044777278,-0.2886224752055086,-0.920672810679989,0.25232478411485887,0.9165962944223254,0.9220140271737008,97.63404052869703,4.191789163604867e-4
3941,0.5222294260212974,-0.3075962687189012,-0.9225883449996654,0.272723573402534,0.9335801320866548,0.9361395099504518,97.66908760782945,4.1835603256985127e-4
3942,0.5444715313620024,-0.3416909004733009,-0.9232995143562933,0.29644924846368487,0.9284887422312889,0.9322480808591751,97.60786011438478,4.1563699806166157e-4
3943,0.5373580502980739,-0.31553840563913593,-0.9202193769043311,0.28875367422014775,0.9324412048964297,0.9397762436292216,97.786691456126,4.2469906170651203e-4
3944,0.5450765785520558,-0.33517278365983205,-0.9229791912238052,0.2971084764860151,0.9165267648645724,0.9224626183416205,97.50886415846053,4.1593293711173276e-4
3945,0.5525793852984479,-0.3151945707972281,-0.9209045417262018,0.30534397705680993,0.9269575728609697,0.9317058756241607,97.74378924210403,4.125786079474149e-4
3946,0.4648547761467572,-0.25296887046284827,-0.9160564615132243,0.21608996290645108,0.9108119757896422,0.9168401482244458,97.48242239966851,4.2833597155049474e-4
3947,0.558630611579763,-0.3470346888003391,-0.9181434456239673,0.3120681601939814,0.9214592272203042,0.9276849265173721,97.56138109157328,4.233769785958845e-4
3948,0.5076702360587247,-0.26928328769686305,-0.9191537362683575,0.2577290685799215,0.919622811847821,0.9220711414377473,97.71029635394031,4.0960908811193963e-4
3949,0.5075132154966563,-0.30303493241600227,-0.9230581279208976,0.2575696639037569,0.9293561538515668,0.9380462163323746,97.70119762572708,4.1971498980644326e-4
3950,0.5139988442105132,-0.31396249021747424,-0.9235825681193993,0.2641948118497426,0.9100927832806431,0.9196912357582165,97.46225535568955,4.328599864044137e-4
3951,0.5717127966225892,-0.36090322468447794,-0.9209735351841306,0.3268555218220217,0.9384564820353928,0.9436038118229525,97.72606989570453,4.159687622938939e-4
3952,0.5998265342960862,-0.407844558099338,-0.9289197651093689,0.35979187124565287,0.9411849833354698,0.9440841123554037,97.84765545286639,4.232236702718002e-4
3953,0.4962650973508772,-0.27814978668613055,-0.9192980745321274,0.24627904684867574,0.9228466449568936,0.9264574385019837,97.75648777095472,4.169596204270723e-4
3954,0.5453412428922991,-0.36345096218864303,-0.9280307360686602,0.29739707119931735,0.9235329126754185,0.9303900582807311,97.57886117667418,4.241179383848992e-4
3955,0.5382246047211264,-0.3256118175124374,-0.9257854851550605,0.2896857251272121,0.9392474299523871,0.940227648013935,97.74540640279884,4.223562530182544e-4
3956,0.5894604197304046,-0.39746576004173534,-0.9277676082665786,0.3474635864287439,0.933701204463333,0.9382274785500719,97.69478490349661,4.135231344212231e-4
3957,0.535809637245296,-0.3135526117391397,-0.9206244927197178,0.2870919673649353,0.9330507143295489,0.9370921624076848,97.74178518296226,4.251979891689607e-4
3958,0.5716495588387346,-0.3589249130871075,-0.9247285236549138,0.3267832181205194,0.9289144442436469,0.9407409672325435,97.66203402372463,4.254053736497086e-4
3959,0.5457224981559357,-0.33960641371032535,-0.9229700790802309,0.29781304499355465,0.9259940706142465,0.9306144243702706,97.7216628463908,4.179019896848879e-4
3960,0.5122192678365746,-0.3008166334662267,-0.9223516755921045,0.2623685783430379,0.9321115811362217,0.9361855621208284,97.74307597420892,4.1993488240142304e-4
3961,0.5593768475873945,-0.3488446428425983,-0.9239838850735772,0.3129024576168119,0.9336032458494425,0.9373098346093448,97.75276467300006,4.1662950034639795e-4
3962,0.5734567430599452,-0.37757365404094406,-0.9232353324048452,0.3288526361609208,0.936887738345029,0.9428686722842169,97.70524975797342,4.136436099822956e-4
3963,0.5242094418801676,-0.31343132525547335,-0.9283008626323239,0.27479553895631637,0.9331657995398664,0.941597474254811,97.80212720964997,4.207123157292103e-4
3964,0.49631657023042314,-0.28007540592496405,-0.9169947759977265,0.24633013788529126,0.9095977170741799,0.9175790191095842,97.38768004440782,4.288785415731064e-4
3965,0.5448816049174869,-0.34521480523638315,-0.9269377912538372,0.296895963377456,0.9332440086877832,0.9380446410523309,97.76163676090097,4.2231983923609814e-4
3966,0.5784606065939043,-0.36889049588368855,-0.9250549174670627,0.3346166733809879,0.925587978276883,0.9323202678257503,97.6604556583017,4.1280114189327227e-4
3967,0.5648845720361859,-0.3376539600299827,-0.9208414470965465,0.3190945797245046,0.945065005043679,0.9501973778759328,97.76890647181955,4.1517255526566516e-4
3968,0.5776482621198702,-0.3832788129390788,-0.9238759640912394,0.33367751473010615,0.9367993449275566,0.93914199910692,97.67368613449176,4.3051100945746754e-4
3969,0.524251387889278,-0.2940282051176781,-0.917938141143853,0.2748395177038346,0.9211526855872498,0.9279403234714453,97.54446740468194,4.0891305878633724e-4
3970,0.555251452013648,-0.36184261979396665,-0.9291489577996631,0.3083041749632638,0.9202846825877227,0.930045215019953,97.5670403314705,4.29251132775095e-4
3971,0.49471041452919623,-0.2761569228879215,-0.9147695112751855,0.24473839424364932,0.9090253630857812,0.9198409144756801,97.38906525029743,4.362517006595082e-4
3972,0.5447099916971985,-0.32949908964017,-0.9210229247076666,0.29670897505476274,0.9318277325350107,0.9327217521834554,97.59223386571784,4.2026126860606264e-4
3973,0.5276028932675147,-0.31850384084076444,-0.9229119966618571,0.27836481298425175,0.9350500095502849,0.9434170655584326,97.7975939770963,4.176668507229579e-4
