Model,Ability_PC1,Ability,Coherence_Cosine_Raw,Coherence_Cosine_Centered,Coherence_R2_1F,RMSE_1F,Delta_g,params_num,gfactor_meta,model_type,size_band,ability_decile
Aspik101/Llama-2-7b-hf-instruct-pl-lora_unload,12.877528158642555,107.81869738457081,0.8096900599329555,0.44443028990035605,0.1975182825809083,0.2363495460604135,1.4000000000002e-4,7,-0.494541835,instruction_or_chat,2B-20B,6
Aspik101/WizardVicuna-Uncensored-3B-instruct-PL-lora_unload,-4.675458994198265,97.1612565269312,0.6793537269158619,-0.1382401233597234,0.01911033170650689,0.3050061252158403,4.0000000000001e-4,3,-1.111356766,instruction_or_chat,2B-20B,4
Aspik101/Nous-Hermes-13b-pl-lora_unload,16.520366872246424,110.03047694129828,0.8302173255781824,0.53434714536466,0.28552687175935754,0.23795645204602334,8.00000000000245e-5,13,-0.450045359,base_or_other,2B-20B,7
intervitens/internlm2-base-20b-llama,20.912170777525066,112.69699688866136,0.8482030728071263,0.5951197737792779,0.35416754514309423,0.2571360749859117,1.000000000001e-5,19.861,1.17204687,base_or_other,2B-20B,8
dfurman/falcon-40b-openassistant-peft,20.983692762414808,112.74042205141835,0.851460522617019,0.6376340406427226,0.4065771697863588,0.2308345920264037,-4.99999999999945e-5,40,0.585599599,instruction_or_chat,20B+,8
health360/Healix-410M,-45.55004515688654,72.34391456591669,0.2906234288782444,-0.7851152560638587,0.6164059653042282,0.32718972674661384,-8.5999999999997e-4,0.41,-0.511507248,base_or_other,<2B,1
health360/Healix-1.1B-V1-Chat-dDPO,-33.72222646669393,79.52527219285548,0.4142168613538569,-0.6995008590293514,0.4893014517828036,0.31370297790751284,-2.9000000000001e-4,1.1,-0.703800007,instruction_or_chat,<2B,2
macadeliccc/laser-dolphin-mixtral-4x7b-dpo,24.032542631815875,114.59155638451135,0.8617320773142488,0.6498930422933992,0.4223609664213681,0.25591423367320154,-7.9999999999969e-5,24.154,1.188429906,merge_or_moe,20B+,9
gagan3012/MetaModel_moe_multilingualv1,23.517068900132895,114.27858225872622,0.8542205186419627,0.6036700711623815,0.36441755481719185,0.2827989773786415,0,46.703,1.416898493,base_or_other,20B+,9
fionazhang/fine-tune-mistral-environment-merge,22.56201225859806,113.69871174527881,0.8614370582299087,0.6745147100535456,0.4549700940786099,0.2248562239216042,-9.9999999999989e-5,7.242,1.135563972,merge_or_moe,2B-20B,9
adamo1139/Yi-6B-200K-AEZAKMI-v2-rawrr1-DPO,12.629464331493024,107.66808338686513,0.8007885271540682,0.3750662260301262,0.14067467390847743,0.28422620682809524,2.5999999999998e-4,6.061,0.894122694,instruction_or_chat,2B-20B,6
adamo1139/LWM-7B-1M-1000000ctx-AEZAKMI-3_1-1702,10.904933905560606,106.6210205216365,0.7940633412576307,0.3534426263685426,0.12492169013429111,0.2628063853103326,2.3e-4,6.738,-0.45411923,base_or_other,2B-20B,5
adamo1139/Yi-34B-200K-AEZAKMI-RAW-1701,24.9904663576409,115.17316767182194,0.8622272030493656,0.6427891142224461,0.4131778453628713,0.27118610882903177,-7.00000000000145e-5,34,2.257925689,base_or_other,20B+,10
jordiclive/gpt4all-alpaca-oa-codealpaca-lora-13b,16.156131910953164,109.80932868177601,0.8293443720118228,0.5431744584472533,0.29503849230945756,0.22739928446511687,6.00000000000045e-5,13,-0.529567514,instruction_or_chat,2B-20B,7
